rating,film,date
6,Pingu (1986),"29 de julio de 2020, 20:47"
6,La sirena (1997),"19 de julio de 2020, 11:39"
6,"Alemania, año cero (1948)","4 de julio de 2020, 22:51"
6,Ed Wood (1994),"4 de julio de 2020, 22:50"
6,Oldboy (2003),"4 de julio de 2020, 22:49"
6,Drive (2011),"4 de julio de 2020, 22:49"
6,El Havre (2011),"24 de junio de 2020, 12:47"
6,Henry: Retrato de un asesino (1986),"23 de junio de 2020, 09:41"
6,La guerra de las galaxias. Episodio V: El imperio contraataca (1980),"23 de junio de 2020, 09:41"
6,Uno de los nuestros (1990),"23 de junio de 2020, 09:41"
6,Una historia verdadera (1999),"23 de junio de 2020, 09:40"
6,Hierro 3 (2004),"23 de junio de 2020, 09:38"
6,Eduardo Manostijeras (1990),"23 de junio de 2020, 09:38"
6,Vincent (1982),"23 de junio de 2020, 09:38"
6,La noche de los muertos vivientes (1968),"7 de junio de 2020, 21:23"
6,Boardwalk Empire (2010),"28 de mayo de 2020, 16:13"
6,Un perro andaluz (1929),"25 de mayo de 2020, 14:20"
6,Tres anuncios en las afueras (2017),"17 de mayo de 2020, 10:26"
6,El gato negro (Kuroneko) (1968),"2 de mayo de 2020, 21:30"
6,Reservoir Dogs (1992),"26 de enero de 2020, 20:27"
6,Parásitos (2019),"12 de enero de 2020, 22:40"
6,Memories of Murder (Crónica de un asesino en serie) (2003),"6 de enero de 2020, 10:53"
6,Magnolia (1999),"6 de enero de 2020, 10:52"
6,Match Point (2005),"6 de enero de 2020, 10:46"
6,Desmontando a Harry (1997),"6 de enero de 2020, 10:46"
6,Primavera tardía (1949),"6 de enero de 2020, 10:45"
6,"Marnie, la ladrona (1964)","6 de enero de 2020, 10:12"
6,Her (2013),"6 de enero de 2020, 09:54"
6,No es país para viejos (2007),"6 de enero de 2020, 09:47"
6,La cabina (1972),"6 de enero de 2020, 09:39"
6,Trainspotting (1996),"6 de enero de 2020, 09:36"
6,Cartas desde Iwo Jima (2006),"6 de enero de 2020, 09:35"
6,Film socialisme (2010),"6 de enero de 2020, 09:34"
6,Un tipo serio (2009),"6 de enero de 2020, 09:22"
6,WALL•E (2008),"6 de enero de 2020, 09:15"
6,Up (2009),"6 de enero de 2020, 09:15"
6,"Cine-ojo, la vida al imprevisto (1924)","6 de enero de 2020, 00:02"
6,Black Mirror (2011),"5 de enero de 2020, 23:47"
6,Black Mirror: Tu historia completa (2011),"5 de enero de 2020, 23:47"
6,El hombre que sabía demasiado (1956),"5 de enero de 2020, 23:46"
6,39 escalones (1935),"5 de enero de 2020, 23:45"
6,La ley de la calle (1983),"5 de enero de 2020, 23:44"
6,Django desencadenado (2012),"5 de enero de 2020, 23:42"
6,Derek - Episodio piloto (2012),"5 de enero de 2020, 23:42"
6,Los vampiros (1915),"5 de enero de 2020, 23:31"
6,"Vampyr, la bruja vampiro (1932)","5 de enero de 2020, 23:28"
6,Sopa de ganso (1933),"5 de enero de 2020, 23:27"
6,El hombre de la cámara (1929),"5 de enero de 2020, 23:26"
6,A sangre fría (1967),"5 de enero de 2020, 23:25"
6,Toro salvaje (1980),"5 de enero de 2020, 23:24"
6,Ensayo de un crimen (1955),"5 de enero de 2020, 23:18"
6,Un día en las carreras (1937),"5 de enero de 2020, 22:55"
6,Frenesí (1972),"5 de enero de 2020, 22:54"
6,Pero... ¿quién mató a Harry? (1955),"5 de enero de 2020, 22:54"
6,Sospecha (1941),"5 de enero de 2020, 22:54"
6,Vacaciones en Roma (1953),"5 de enero de 2020, 22:53"
6,Rebelde sin causa (1955),"5 de enero de 2020, 22:52"
6,El héroe del río (1928),"5 de enero de 2020, 22:52"
6,Otoño tardío (Fin de otoño) (1960),"5 de enero de 2020, 22:52"
6,El quinteto de la muerte (1955),"5 de enero de 2020, 22:51"
6,Los lunes al sol (2002),"5 de enero de 2020, 22:50"
6,Tiburón (1975),"5 de enero de 2020, 22:50"
6,Dos hombres y un destino (1969),"5 de enero de 2020, 22:50"
6,Perros de paja (1971),"5 de enero de 2020, 22:50"
6,El golpe (1973),"5 de enero de 2020, 22:49"
